date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-16,369.82,371.16,368.8676,370.17,341.32210805363826,58420517,0.0000,1.0
2020-12-17,371.94,372.46,371.05,372.24,343.2307899124356,64119472,0.0000,1.0
2020-12-18,370.97,371.15,367.02,369.18,341.866128486822,136542328,1.5800,1.0
2020-12-21,364.97,378.46,362.03,367.86,340.64378900580294,96386745,0.0000,1.0
2020-12-22,368.21,368.3317,366.03,367.24,340.0696598556274,48388462,0.0000,1.0
2020-12-23,368.28,369.62,367.2172,367.57,340.3752447258821,46201402,0.0000,1.0
2020-12-24,368.08,369.03,367.45,369.0,341.6994458303194,26457853,0.0000,1.0
2020-12-28,371.74,372.59,371.07,372.17,344.63491261428175,37932709,0.0000,1.0
2020-12-29,373.81,374.0,370.83,371.46,343.97744213585486,53680451,0.0000,1.0
2020-12-30,372.34,373.1,371.57,371.99,344.46822995777916,49455259,0.0000,1.0
2020-12-31,371.78,374.66,371.23199999999997,373.88,346.2183978510564,78520702,0.0000,1.0
2021-01-04,375.31,375.45,364.82,368.79,341.5049827310664,110210810,0.0000,1.0
2021-01-05,368.1,372.5,368.05,371.33,343.85706021726963,66426229,0.0000,1.0
2021-01-06,369.71,376.98,369.12,373.55,345.9128129808017,107997675,0.0000,1.0
2021-01-07,376.1,379.9,375.91,379.1,351.05219488963166,68766812,0.0000,1.0
2021-01-08,380.59,381.49,377.1,381.26,353.05238676766277,71677208,0.0000,1.0
2021-01-11,377.85,380.58,377.7189,378.69,350.67252883870907,51176719,0.0000,1.0
2021-01-12,378.89,379.86,376.36,378.77,350.7466100193769,51440114,0.0000,1.0
2021-01-13,378.69,380.86,377.85,379.79,351.69114507289163,45303619,0.0000,1.0
2021-01-14,380.59,381.13,378.1,378.46,350.45954544428906,49989113,0.0000,1.0
2021-01-15,376.72,377.58,373.7,375.7,347.9037447112493,107159962,0.0000,1.0
2021-01-19,378.34,379.23,376.75,378.65,350.63548824837517,51233300,0.0000,1.0
2021-01-20,381.11,384.79,380.69,383.89,355.48780558211735,61836062,0.0000,1.0
2021-01-21,384.49,384.95,383.25,384.24,355.8119107475391,47955809,0.0000,1.0
2021-01-22,382.25,384.1256,381.835,382.88,354.55253067618617,52136931,0.0000,1.0
2021-01-25,383.67,384.77,378.46,384.39,355.9508129612912,70401971,0.0000,1.0
2021-01-26,385.41,385.85,383.54,383.79,355.3952041062826,42665281,0.0000,1.0
2021-01-27,380.22,380.32,372.01,374.41,346.7091856729807,123351078,0.0000,1.0
2021-01-28,376.36,381.93,375.89,377.63,349.69095319486047,94198104,0.0000,1.0
2021-01-29,375.63,376.67,368.27,370.07,342.69028162175147,126765121,0.0000,1.0
2021-02-01,373.72,377.34,370.376,376.23,348.3945325331736,75817597,0.0000,1.0
2021-02-02,379.65,383.22,376.3181,381.55,353.32093104758366,62923781,0.0000,1.0
2021-02-03,382.435,383.7,380.48,381.85,353.598735475088,52427090,0.0000,1.0
2021-02-04,382.96,386.24,381.9655,386.19,357.6176395263172,47142555,0.0000,1.0
2021-02-05,388.2,388.47,386.1444,387.71,359.02518195900575,48669773,0.0000,1.0
2021-02-08,389.27,390.56,388.35,390.51,361.61802328237945,38365185,0.0000,1.0
2021-02-09,389.61,390.89,389.17,390.25,361.37725944520906,34142633,0.0000,1.0
2021-02-10,392.12,392.28,387.5,390.08,361.21983693628994,58362935,0.0000,1.0
2021-02-11,391.24,391.69,388.1,390.71,361.803226234049,42913288,0.0000,1.0
2021-02-12,389.85,392.9,389.77,392.64,363.5904347176602,50593270,0.0000,1.0
2021-02-16,393.96,394.17,391.53,392.3,363.275589699822,50972366,0.0000,1.0
2021-02-17,390.42,392.66,389.33,392.39,363.35893102807324,51746878,0.0000,1.0
2021-02-18,389.59,391.515,387.74,390.72,361.81248638163254,59712773,0.0000,1.0
2021-02-19,392.07,392.38,389.55,390.03,361.1735361983725,83240971,0.0000,1.0
